iter	Passed	Remaining
0	312	312511
1	314	156830
2	315	104859
3	316	78874
4	318	63360
5	319	52999
6	321	45565
7	322	39999
8	326	35928
9	327	32443
10	329	29583
11	331	27302
12	333	25284
13	334	23549
14	335	22047
15	337	20785
16	339	19640
17	340	18598
18	342	17690
19	344	16858
20	345	16106
21	346	15419
22	348	14798
23	349	14229
24	351	13694
25	353	13242
26	354	12787
27	356	12363
28	357	11979
29	361	11686
30	362	11345
31	364	11029
32	366	10733
33	367	10444
34	369	10174
35	370	9933
36	372	9702
37	374	9470
38	375	9249
39	377	9062
40	378	8864
41	380	8680
42	381	8498
43	384	8348
44	385	8182
45	386	8022
46	389	7887
47	390	7749
48	392	7608
49	394	7500
50	396	7378
51	397	7254
52	400	7158
53	402	7051
54	403	6939
55	405	6830
56	406	6724
57	407	6623
58	409	6524
59	411	6441
60	412	6355
61	414	6270
62	416	6187
63	418	6121
64	420	6044
65	422	5972
66	423	5900
67	424	5824
68	426	5753
69	428	5696
70	430	5628
71	431	5560
72	432	5493
73	434	5434
74	436	5380
75	437	5320
76	438	5260
77	440	5210
78	442	5155
79	443	5100
80	444	5045
81	446	5000
82	448	4950
83	449	4900
84	450	4851
85	452	4810
86	454	4765
87	455	4719
88	456	4673
89	493	4990
90	494	4944
91	496	4900
92	497	4856
93	499	4810
94	500	4765
95	501	4723
96	503	4683
97	505	4648
98	506	4609
99	507	4570
100	530	4723
101	533	4698
102	534	4658
103	536	4620
104	537	4582
105	539	4548
106	540	4512
107	542	4476
108	543	4443
109	545	4410
110	546	4377
111	547	4343
112	549	4313
113	550	4282
114	552	4249
115	553	4218
116	556	4197
117	557	4169
118	559	4141
119	560	4111
120	561	4078
121	562	4049
122	563	4021
123	565	3993
124	567	3974
125	569	3949
126	570	3922
127	572	3896
128	573	3870
129	574	3845
130	575	3820
131	577	3794
132	579	3776
133	580	3752
134	581	3729
135	583	3706
136	584	3684
137	586	3660
138	587	3637
139	588	3615
140	590	3598
141	592	3577
142	593	3554
143	594	3533
144	595	3513
145	597	3492
146	598	3471
147	599	3451
148	601	3433
149	602	3415
150	603	3395
151	605	3377
152	606	3358
153	607	3339
154	609	3320
155	611	3309
156	613	3293
157	615	3277
158	616	3261
159	617	3244
160	619	3228
161	626	3240
162	627	3224
163	629	3207
164	630	3190
165	632	3178
166	634	3164
167	636	3154
168	638	3140
169	639	3124
170	641	3108
171	642	3092
172	643	3077
173	645	3064
174	647	3051
175	648	3038
176	650	3024
177	651	3009
178	653	2996
179	654	2982
180	655	2967
181	657	2954
182	659	2943
183	660	2930
184	662	2920
185	664	2908
186	665	2894
187	667	2881
188	668	2869
189	671	2863
190	673	2851
191	674	2838
192	675	2825
193	677	2815
194	679	2803
195	680	2791
196	682	2783
197	684	2772
198	685	2759
199	686	2746
200	687	2734
201	688	2721
202	690	2709
203	691	2698
204	692	2686
205	694	2677
206	696	2667
207	697	2656
208	699	2646
209	700	2635
210	701	2624
211	703	2614
212	704	2604
213	706	2595
214	708	2585
215	709	2575
216	711	2568
217	712	2557
218	714	2547
219	715	2536
220	718	2531
221	719	2522
222	721	2513
223	722	2503
224	724	2494
225	725	2484
226	726	2475
227	728	2465
228	731	2462
229	733	2454
230	734	2444
231	736	2436
232	737	2427
233	738	2417
234	739	2408
235	740	2398
236	743	2392
237	744	2384
238	745	2375
239	747	2366
240	748	2358
241	750	2349
242	751	2340
243	752	2331
244	754	2325
245	755	2316
246	757	2308
247	758	2301
248	760	2292
